publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2020p528580,earthquake,2020-07-14T13:47:57.492Z,2020-07-14T13:52:29.211Z,175.1368866,-36.36561584,1.866966657,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,10,6,0.2836488485,122.7499237,0.5345298255,0
2020p527994,earthquake,2020-07-14T08:34:57.403Z,2020-07-14T08:36:36.337Z,175.1269684,-36.35375595,1.800295452,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,10,6,0.2865279913,125.9779663,0.6081981195,0
2020p527429,quarry blast,2020-07-14T03:34:37.370Z,2020-07-14T03:36:49.489Z,175.0219727,-36.97059631,1.131357405,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,15,14,7,0.07733927667,113.2733498,0.5666227934,0
2020p527116,quarry blast,2020-07-14T00:47:50.341Z,2020-07-19T22:25:47.711Z,174.9949646,-36.94675827,0.8786761036,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,7,7,4,0.05422772467,107.5897827,0.3395164496,0
2020p527051,earthquake,2020-07-14T00:13:06.392Z,2020-07-14T00:18:22.860Z,175.1332855,-36.36429596,1.564266972,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,12,9,4,0.2857840061,123.1898499,0.6048780133,0
2020p524775,quarry blast,2020-07-13T04:00:12.788Z,2020-07-13T04:12:40.182Z,175.0436096,-37.61215973,1.77550808,0,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,9,4,0.3824644089,140.3092194,1.059609386,0
2020p362715,quarry blast,2020-05-14T04:54:50.000Z,2020-05-14T04:58:44.575Z,175.0671,-37.6143,1.77057017,0,M,,,confirmed,manual,,0,0,6,0,0,0.5162344232,0
2020p357317,quarry blast,2020-05-12T04:58:33.000Z,2020-05-12T05:04:26.781Z,175.06,-37.6163,2.09280546,0,M,,,confirmed,manual,,0,0,4,0,0,0.6097043888,0
2020p352193,earthquake,2020-05-10T07:28:44.818Z,2020-05-10T09:26:21.814Z,174.9426727,-35.81956482,2.44265157,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,14,12,8,0.4996758401,197.7806244,0.5548260754,0
2020p303272,quarry blast,2020-04-22T05:03:23.585Z,2020-04-22T05:09:55.580Z,175.0769806,-37.61513901,1.638665302,0,M,,LOCSAT,confirmed,manual,iasp91,19,19,3,0.3564016819,136.7557068,0.3542175197,0
